,Freq. of Parent (%),Leukocytes | Freq. of Parent (%),Leukocytes | Count,Leukocytes/Single Cells | Freq. of Parent (%),Leukocytes/Single Cells | Count,Leukocytes/Single Cells/LIVE | Freq. of Parent (%),Leukocytes/Single Cells/LIVE | Count,"Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+ | Count","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q13: CD86- , MHCII+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q13: CD86- , MHCII+ | Count","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q14: CD86+ , MHCII+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q14: CD86+ , MHCII+ | Count","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q15: CD86+ , MHCII- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q15: CD86+ , MHCII- | Count","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q16: CD86- , MHCII- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q16: CD86- , MHCII- | Count","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q17: Ly6G- , Ly6C+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q17: Ly6G- , Ly6C+ | Count","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q18: Ly6G+ , Ly6C+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q18: Ly6G+ , Ly6C+ | Count","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q19: Ly6G+ , Ly6C- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q19: Ly6G+ , Ly6C- | Count","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q1: SIGLEC F- , F480+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q1: SIGLEC F- , F480+ | Count","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q20: Ly6G- , Ly6C- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q20: Ly6G- , Ly6C- | Count","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q2: SIGLEC F+ , F480+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q2: SIGLEC F+ , F480+ | Count","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q3: SIGLEC F+ , F480- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q3: SIGLEC F+ , F480- | Count","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q4: SIGLEC F- , F480- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q4: SIGLEC F- , F480- | Count","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q5: CD103- , CD88+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q5: CD103- , CD88+ | Count","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q6: CD103+ , CD88+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q6: CD103+ , CD88+ | Count","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q7: CD103+ , CD88- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q7: CD103+ , CD88- | Count","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q8: CD103- , CD88- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q1: CD11b- , CD11c+/Q8: CD103- , CD88- | Count","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+ | Count","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q13: CD86- , MHCII+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q13: CD86- , MHCII+ | Count","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q14: CD86+ , MHCII+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q14: CD86+ , MHCII+ | Count","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q15: CD86+ , MHCII- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q15: CD86+ , MHCII- | Count","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q16: CD86- , MHCII- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q16: CD86- , MHCII- | Count","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q17: Ly6G- , Ly6C+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q17: Ly6G- , Ly6C+ | Count","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q18: Ly6G+ , Ly6C+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q18: Ly6G+ , Ly6C+ | Count","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q19: Ly6G+ , Ly6C- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q19: Ly6G+ , Ly6C- | Count","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q1: SIGLEC F- , F480+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q1: SIGLEC F- , F480+ | Count","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q20: Ly6G- , Ly6C- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q20: Ly6G- , Ly6C- | Count","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q2: SIGLEC F+ , F480+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q2: SIGLEC F+ , F480+ | Count","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q3: SIGLEC F+ , F480- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q3: SIGLEC F+ , F480- | Count","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q4: SIGLEC F- , F480- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q4: SIGLEC F- , F480- | Count","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q5: CD103- , CD88+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q5: CD103- , CD88+ | Count","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q6: CD103+ , CD88+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q6: CD103+ , CD88+ | Count","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q7: CD103+ , CD88- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q7: CD103+ , CD88- | Count","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q8: CD103- , CD88- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q2: CD11b+ , CD11c+/Q8: CD103- , CD88- | Count","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c- | Count","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/CD11b++ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/CD11b++ | Count","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q13: CD86- , MHCII+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q13: CD86- , MHCII+ | Count","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q14: CD86+ , MHCII+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q14: CD86+ , MHCII+ | Count","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q15: CD86+ , MHCII- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q15: CD86+ , MHCII- | Count","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q16: CD86- , MHCII- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q16: CD86- , MHCII- | Count","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q17: Ly6G- , Ly6C+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q17: Ly6G- , Ly6C+ | Count","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q18: Ly6G+ , Ly6C+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q18: Ly6G+ , Ly6C+ | Count","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q19: Ly6G+ , Ly6C- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q19: Ly6G+ , Ly6C- | Count","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q1: SIGLEC F- , F480+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q1: SIGLEC F- , F480+ | Count","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q20: Ly6G- , Ly6C- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q20: Ly6G- , Ly6C- | Count","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q2: SIGLEC F+ , F480+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q2: SIGLEC F+ , F480+ | Count","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q3: SIGLEC F+ , F480- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q3: SIGLEC F+ , F480- | Count","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q4: SIGLEC F- , F480- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q4: SIGLEC F- , F480- | Count","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q5: CD103- , CD88+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q5: CD103- , CD88+ | Count","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q6: CD103+ , CD88+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q6: CD103+ , CD88+ | Count","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q7: CD103+ , CD88- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q7: CD103+ , CD88- | Count","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q8: CD103- , CD88- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q3: CD11b+ , CD11c-/Q8: CD103- , CD88- | Count","Leukocytes/Single Cells/LIVE/Q4: CD11b- , CD11c- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q4: CD11b- , CD11c- | Count","Leukocytes/Single Cells/LIVE/Q4: CD11b- , CD11c-/Ly6C+ | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q4: CD11b- , CD11c-/Ly6C+ | Count","Leukocytes/Single Cells/LIVE/Q4: CD11b- , CD11c-/Ly6C- | Freq. of Parent (%)","Leukocytes/Single Cells/LIVE/Q4: CD11b- , CD11c-/Ly6C- | Count",
A4 IN-Inulin 1.fcs,100,41.5,71793,86.4,62010,87.2,54076,4.76,2574,9.13,235,56.6,1457,16.4,421,17.9,461,26.4,680,10.6,272,30.5,786,1.17,30.0,32.5,836,24.8,638,24.9,640,49.2,1266,49.2,1267,0.82,21.0,19.9,512,30.1,774,6.15,3328,18.3,610,29.5,982,4.00,133,48.2,1603,49.5,1646,3.58,119,6.34,211,21.4,713,40.6,1352,1.77,59.0,1.98,66.0,74.8,2490,40.1,1335,0.99,33.0,3.37,112,55.5,1848,18.1,9790,32.3,3158,1.02,100,5.98,585,35.1,3434,57.9,5671,18.6,1821,16.2,1585,0.33,32.0,2.91,285,64.9,6352,17.6,1726,23.3,2282,56.1,5497,24.3,2375,0.020,2.00,0.21,21.0,75.5,7392,71.0,38384,30.7,11769,69.1,26505,
A5 IM-CPG 1.fcs,100,42.4,71596,85.7,61376,85.4,52409,5.54,2902,7.20,209,60.2,1746,16.3,472,16.4,475,31.6,918,4.45,129,16.1,466,1.41,41.0,47.9,1389,15.3,443,11.0,319,72.3,2099,27.1,785,1.38,40.0,34.1,990,37.5,1087,6.98,3658,19.4,709,27.0,986,3.12,114,50.5,1849,46.7,1707,3.50,128,2.90,106,17.4,635,46.9,1717,2.08,76.0,2.46,90.0,78.1,2857,33.2,1214,0.87,32.0,3.75,137,62.2,2275,15.1,7893,38.1,3008,0.48,38.0,3.88,306,42.9,3388,52.7,4161,20.3,1599,22.3,1761,0.70,55.0,3.91,309,56.7,4478,15.6,1235,30.2,2385,50.2,3964,29.9,2357,0.025,2.00,0.18,14.0,69.9,5520,72.4,37956,27.2,10323,72.5,27523,
A10 BCG-BCG 1.fcs,100,36.9,72210,86.0,62130,89.4,55521,3.94,2188,8.04,176,54.4,1191,19.4,425,18.1,396,24.9,545,2.97,65.0,14.5,318,2.01,44.0,57.6,1260,10.8,237,10.9,238,76.3,1669,22.2,485,1.14,25.0,37.1,811,39.6,867,6.67,3701,19.9,736,33.1,1226,5.76,213,41.2,1526,40.0,1482,4.54,168,4.22,156,21.8,806,51.2,1895,1.41,52.0,1.27,47.0,75.5,2796,41.4,1532,0.65,24.0,2.30,85.0,55.7,2060,11.1,6182,35.0,2166,0.87,54.0,12.2,757,40.8,2520,46.1,2851,24.8,1533,9.88,611,0.71,44.0,7.04,435,64.6,3994,20.3,1254,16.5,1017,56.2,3476,19.6,1212,0.016,1.00,0.47,29.0,79.9,4940,78.3,43450,20.3,8832,79.4,34493,
A11 BCG 1.fcs,100,34.9,70582,83.4,58859,83.2,48993,6.10,2991,5.02,150,62.6,1872,16.5,494,15.9,475,28.2,842,5.78,173,29.3,876,1.77,53.0,36.8,1100,20.5,613,19.5,583,58.2,1742,41.7,1246,0.84,25.0,23.6,706,33.9,1014,11.9,5838,24.6,1439,33.9,1981,5.82,340,35.6,2078,47.0,2745,2.26,132,3.12,182,10.4,606,47.6,2779,1.01,59.0,1.27,74.0,87.3,5099,38.2,2233,0.41,24.0,1.42,83.0,59.9,3498,17.2,8417,42.6,3582,0.32,27.0,3.30,278,52.2,4393,44.2,3719,32.9,2769,9.40,791,0.76,64.0,6.91,582,56.9,4793,24.2,2040,18.3,1540,50.6,4255,18.3,1543,0.036,3.00,0.19,16.0,81.4,6855,64.8,31747,31.8,10083,67.8,21513,
A12 Saline 1.fcs,100,47.3,72217,88.1,63622,90.4,57541,5.15,2966,5.77,171,48.2,1430,26.2,776,19.9,589,46.6,1382,4.52,134,8.97,266,3.71,110,39.9,1184,10.0,297,9.14,271,77.1,2288,18.6,551,1.38,41.0,34.3,1017,45.8,1357,6.62,3812,22.0,838,48.5,1847,3.10,118,26.5,1009,52.9,2016,5.48,209,4.07,155,28.4,1081,37.6,1432,3.88,148,4.25,162,63.5,2421,47.7,1817,0.92,35.0,4.67,178,46.7,1782,8.72,5015,26.6,1333,0.32,16.0,10.5,525,46.2,2318,43.0,2156,26.7,1341,6.70,336,0.46,23.0,6.70,336,66.1,3315,17.6,882,15.9,796,59.8,3001,18.8,944,0.100,5.00,1.14,57.0,79.9,4009,79.5,45748,30.5,13960,69.0,31575,
B4 IN-Inulin 2.fcs,100,40.4,71289,86.0,61285,91.8,56254,4.50,2532,7.98,202,58.4,1479,15.7,397,17.9,454,36.7,928,16.4,415,9.91,251,3.91,99.0,37.0,938,16.8,425,15.3,388,64.0,1620,30.8,779,1.38,35.0,31.8,805,36.1,913,7.52,4230,20.6,872,37.7,1593,6.55,277,35.2,1488,52.1,2205,3.92,166,3.26,138,30.6,1295,40.7,1721,1.96,83.0,1.73,73.0,65.7,2779,59.1,2501,0.76,32.0,4.26,180,35.9,1517,12.4,6948,38.7,2687,0.76,53.0,11.5,801,50.3,3492,37.4,2602,27.9,1936,12.8,889,0.89,62.0,8.85,615,58.4,4061,18.4,1277,22.9,1590,49.9,3466,32.3,2247,0.10,7.00,0.72,50.0,66.8,4644,75.6,42544,31.1,13229,68.6,29182,
B5 IM-CPG 2.fcs,100,47.8,72981,86.7,63270,88.2,55809,5.08,2833,6.18,175,64.2,1818,15.1,429,14.5,411,33.9,961,9.74,276,11.7,331,1.52,43.0,44.7,1265,14.5,410,14.3,404,69.7,1976,26.4,747,1.66,47.0,40.4,1144,31.6,895,6.54,3650,21.1,769,45.3,1653,3.26,119,30.4,1109,50.4,1841,6.11,223,3.12,114,21.3,779,40.3,1472,2.44,89.0,3.07,112,73.2,2670,46.2,1687,0.96,35.0,5.37,196,47.5,1732,13.0,7254,36.5,2645,0.65,47.0,8.63,626,42.9,3109,47.9,3472,25.7,1867,12.6,914,0.65,47.0,5.40,392,61.0,4426,17.8,1294,19.6,1422,57.2,4146,22.0,1599,0.041,3.00,0.48,35.0,77.4,5617,75.4,42072,30.8,12951,68.9,28987,
B10 BCG-BCG 2.fcs,100,43.9,72643,83.8,60871,85.6,52099,4.22,2200,6.91,152,45.9,1010,22.0,484,25.2,554,31.6,696,0.95,21.0,13.0,285,2.36,52.0,54.5,1198,12.3,270,4.82,106,80.5,1772,19.0,419,0.86,19.0,26.9,592,53.2,1170,7.59,3954,16.2,640,22.4,884,6.95,275,54.5,2155,34.9,1378,3.29,130,2.20,87.0,15.5,611,59.7,2359,0.86,34.0,0.96,38.0,82.7,3271,34.5,1365,0.46,18.0,1.80,71.0,63.2,2500,13.8,7205,36.7,2647,0.33,24.0,5.19,374,51.2,3690,43.3,3117,29.5,2125,30.7,2214,0.93,67.0,6.66,480,38.8,2799,14.9,1072,35.9,2590,42.5,3063,39.3,2834,0.014,1.00,0.36,26.0,60.3,4344,74.4,38740,30.3,11734,69.3,26838,
B11 BCG 2.fcs,100,39.8,72039,84.1,60569,82.3,49836,5.70,2841,5.98,170,45.9,1303,27.1,770,21.0,598,31.6,898,1.48,42.0,14.6,415,2.64,75.0,52.3,1486,12.8,363,6.27,178,78.3,2225,20.1,571,0.70,20.0,30.2,858,49.0,1392,8.10,4035,22.1,893,28.6,1152,2.85,115,46.5,1875,36.8,1486,3.57,144,2.92,118,15.6,631,56.7,2287,1.21,49.0,0.97,39.0,82.2,3316,31.7,1280,0.67,27.0,2.35,95.0,65.3,2633,12.7,6310,42.1,2656,0.36,23.0,10.8,682,47.6,3003,41.2,2602,24.6,1555,19.4,1224,0.46,29.0,5.91,373,55.5,3502,15.9,1002,25.5,1610,52.7,3325,27.0,1703,0,0,0.33,21.0,72.7,4586,73.5,36650,29.2,10716,70.5,25828,
B12 Saline 2.fcs,100,49.8,73636,89.8,66107,94.7,62634,5.93,3716,3.04,113,34.8,1295,44.8,1663,17.4,645,50.5,1878,0.51,19.0,2.61,97.0,3.26,121,46.3,1722,1.40,52.0,4.14,154,91.2,3389,6.43,239,0.40,15.0,35.0,1299,58.2,2163,8.92,5586,23.2,1297,49.4,2757,3.15,176,24.3,1356,47.9,2676,8.70,486,4.71,263,23.2,1295,38.7,2161,2.17,121,4.39,245,70.3,3925,48.6,2717,0.36,20.0,2.09,117,48.9,2732,10.4,6541,35.0,2292,0.18,12.0,3.30,216,55.0,3599,41.5,2714,31.3,2048,6.68,437,1.56,102,6.93,453,60.4,3954,18.9,1235,19.7,1286,54.5,3567,15.7,1028,0.046,3.00,0.43,28.0,83.8,5482,74.7,46791,22.3,10431,77.2,36133,
C4 IN-Inulin 3.fcs,100,33.9,72247,85.9,62092,95.7,59421,3.47,2060,6.60,136,54.8,1128,19.9,410,18.7,386,26.7,551,3.69,76.0,17.5,360,3.01,62.0,52.1,1073,19.3,397,6.55,135,71.2,1466,26.8,553,0.87,18.0,37.4,770,34.9,719,8.07,4793,24.3,1167,36.7,1758,2.40,115,36.6,1753,35.6,1705,14.2,680,6.89,330,32.4,1553,43.4,2078,3.46,166,1.98,95.0,62.2,2979,50.2,2406,0.61,29.0,3.30,158,45.9,2200,20.7,12296,65.8,8094,0.38,47.0,4.23,520,65.7,8073,29.7,3656,33.8,4153,28.5,3508,5.20,640,10.8,1322,32.5,3995,26.3,3239,35.0,4299,27.9,3436,41.0,5039,0.033,4.00,0.28,34.0,58.7,7219,67.8,40272,23.7,9548,76.0,30602,
C5 IM-CPG 3.fcs,100,42.7,72552,85.9,62332,89.7,55927,4.53,2536,5.60,142,64.4,1632,14.0,354,16.1,408,33.5,850,9.98,253,13.0,329,1.70,43.0,43.5,1104,16.5,419,12.7,321,69.1,1753,26.5,672,0.55,14.0,38.4,975,34.5,875,7.69,4298,18.7,802,47.1,2024,3.98,171,30.3,1301,53.1,2284,4.42,190,3.49,150,35.2,1515,38.9,1674,4.30,185,2.86,123,57.6,2475,48.3,2077,0.93,40.0,7.68,330,43.1,1851,13.5,7541,36.7,2769,1.02,77.0,13.6,1025,42.5,3203,42.9,3236,22.4,1689,6.55,494,0.40,30.0,11.3,855,70.7,5328,18.8,1417,15.8,1189,54.1,4080,21.2,1601,0.080,6.00,1.05,79.0,77.6,5855,74.3,41552,29.0,12068,70.7,29378,
C10 BCG-BCG 3.fcs,100,39.2,71902,86.8,62412,89.3,55724,4.64,2588,6.07,157,52.1,1348,21.6,558,20.3,525,34.7,897,2.40,62.0,11.3,293,2.74,71.0,51.6,1336,6.88,178,12.2,315,78.2,2024,19.0,491,1.00,26.0,30.8,798,49.2,1273,6.99,3894,13.7,535,45.1,1758,5.73,223,35.4,1378,39.0,1520,5.26,205,4.57,178,23.7,921,51.1,1991,1.72,67.0,3.11,121,71.5,2785,48.3,1882,0.49,19.0,2.13,83.0,49.0,1910,10.9,6077,30.9,1877,0.39,24.0,12.5,761,45.6,2770,41.5,2522,30.0,1826,11.6,707,0.30,18.0,6.50,395,58.0,3526,18.9,1148,18.0,1093,56.6,3441,21.0,1277,0.016,1.00,0.48,29.0,78.5,4770,77.5,43165,25.9,11173,73.7,31822,
C11 BCG 3.fcs,100,39.6,72075,85.2,61438,87.4,53701,4.58,2457,6.84,168,52.0,1278,23.2,570,17.9,441,31.8,782,5.05,124,21.0,517,1.55,38.0,42.1,1034,12.5,306,18.2,448,67.8,1665,31.1,764,0.77,19.0,25.7,631,42.5,1043,6.72,3610,19.6,707,29.6,1067,3.85,139,47.0,1697,43.5,1572,4.93,178,4.46,161,20.8,752,47.1,1699,1.61,58.0,2.91,105,74.7,2695,46.2,1668,0.58,21.0,1.99,72.0,51.2,1849,13.7,7342,32.2,2363,0.41,30.0,6.10,448,36.1,2652,57.4,4212,22.2,1628,11.4,839,1.12,82.0,4.73,347,65.3,4793,17.3,1269,18.6,1365,59.4,4361,21.2,1557,0.041,3.00,0.54,40.0,78.2,5742,75.0,40292,25.0,10087,74.6,30071,
C12 Saline 3.fcs,100,33.4,69695,88.0,61326,90.8,55657,6.12,3404,4.52,154,42.3,1441,35.3,1201,17.9,608,49.2,1674,2.23,76.0,4.85,165,1.91,65.0,43.7,1489,2.97,101,8.05,274,87.1,2964,11.7,398,0.85,29.0,30.9,1053,56.5,1924,7.54,4194,28.8,1207,50.1,2100,1.74,73.0,19.4,814,50.7,2128,9.35,392,4.05,170,24.7,1037,35.9,1504,2.05,86.0,5.94,249,67.3,2822,51.5,2158,0.88,37.0,2.46,103,45.2,1896,12.0,6704,31.6,2120,0.19,13.0,3.82,256,51.6,3460,44.4,2975,30.1,2015,8.10,543,1.31,88.0,6.24,418,60.5,4058,22.7,1520,18.1,1216,53.0,3550,17.5,1171,0.075,5.00,0.58,39.0,81.9,5489,74.3,41355,28.4,11758,71.0,29361,
